cell_index	species	dataset_id	sample_id	tissue	cell_type	cell_type_coarse
1689	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025981	Whole root	Unknow	Unknow
1690	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025981	Whole root	Root endodermis	Root endodermis
1691	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025981	Whole root	Root endodermis	Root endodermis
1692	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025981	Whole root	Non-hair	Non-hair
1693	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025981	Whole root	Unknow	Unknow
1694	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025981	Whole root	Root hair	Root hair
1695	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025981	Whole root	Root endodermis	Root endodermis
1696	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025981	Whole root	Unknow	Unknow
1697	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025982	Whole root	Xylem	Xylem
1698	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025982	Whole root	Root stele	Root stele
1699	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025982	Whole root	Root cap	Root cap
1700	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025982	Whole root	Root cap	Root cap
1701	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025982	Whole root	Root stele	Root stele
1702	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025982	Whole root	Root stele	Root stele
1703	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025982	Whole root	Root stele	Root stele
1704	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025983	Whole root	Unknow	Unknow
1705	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025983	Whole root	Root stele	Root stele
1706	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025983	Whole root	Root cortex	Root cortex
1707	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025983	Whole root	S phase	S phase
1708	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025983	Whole root	Unknow	Unknow
1709	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025983	Whole root	Root endodermis	Root endodermis
1710	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025984	Whole root	Non-hair	Non-hair
1711	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025984	Whole root	S phase	S phase
1712	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025984	Whole root	Lateral root cap	Lateral root cap
1713	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025984	Whole root	Root cap	Root cap
1714	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025984	Whole root	Root hair	Root hair
1715	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025984	Whole root	Root stele	Root stele
1716	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025984	Whole root	Lateral root cap	Lateral root cap
1717	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025984	Whole root	Lateral root cap	Lateral root cap
1718	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025984	Whole root	Columella root cap	Columella root cap
1719	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025984	Whole root	Non-hair	Non-hair
1720	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	Root stele	Root stele
1721	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	Columella root cap	Columella root cap
1722	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	S phase	S phase
1723	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	Root endodermis	Root endodermis
1724	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	Root stele	Root stele
1725	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	Columella root cap	Columella root cap
1726	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	S phase	S phase
1727	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	Columella root cap	Columella root cap
1728	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	S phase	S phase
1729	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	Unknow	Unknow
1730	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	Lateral root cap	Lateral root cap
1731	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	Columella root cap	Columella root cap
1732	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	Root cortex	Root cortex
1733	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025985	Whole root	Non-hair	Non-hair
1734	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025986	Whole root	Unknow	Unknow
1735	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025986	Whole root	Root cortex	Root cortex
1736	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025986	Whole root	Root endodermis	Root endodermis
1737	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025986	Whole root	Non-hair	Non-hair
1738	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025986	Whole root	Unknow	Unknow
1739	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025986	Whole root	Phloem	Phloem
1740	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025986	Whole root	S phase	S phase
1741	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Unknow	Unknow
1742	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Lateral root cap	Lateral root cap
1743	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Lateral root cap	Lateral root cap
1744	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	S phase	S phase
1745	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Root endodermis	Root endodermis
1746	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Unknow	Unknow
1747	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Root cortex	Root cortex
1748	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Root stele	Root stele
1749	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Root cap	Root cap
1750	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Root cap	Root cap
1751	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Lateral root cap	Lateral root cap
1752	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Phloem	Phloem
1753	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Columella root cap	Columella root cap
1754	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Unknow	Unknow
1755	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Columella root cap	Columella root cap
1756	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Root cap	Root cap
1757	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Non-hair	Non-hair
1758	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Root cortex	Root cortex
1759	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Root cortex	Root cortex
1760	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Root endodermis	Root endodermis
1761	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Xylem	Xylem
1762	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	Root cap	Root cap
1763	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025987	Whole root	S phase	S phase
1764	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Root stele	Root stele
1765	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Unknow	Unknow
1766	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Non-hair	Non-hair
1767	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Root endodermis	Root endodermis
1768	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Root endodermis	Root endodermis
1769	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	S phase	S phase
1770	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	G1/G0 phase	G1/G0 phase
1771	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Columella root cap	Columella root cap
1772	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Columella root cap	Columella root cap
1773	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Root cortex	Root cortex
1774	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Root hair	Root hair
1775	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	S phase	S phase
1776	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Root cortex	Root cortex
1777	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Root cortex	Root cortex
1778	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Root endodermis	Root endodermis
1779	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Root cap	Root cap
1780	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Non-hair	Non-hair
1781	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Root cap	Root cap
1782	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	G1/G0 phase	G1/G0 phase
1783	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Lateral root cap	Lateral root cap
1784	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Columella root cap	Columella root cap
1785	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Root endodermis	Root endodermis
1786	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	S phase	S phase
1787	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Root cortex	Root cortex
1788	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Lateral root cap	Lateral root cap
1789	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Non-hair	Non-hair
1790	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Lateral root cap	Lateral root cap
1791	Arabidopsis thaliana	scplantdb_SRP169576	SRX5025988	Whole root	Root cap	Root cap
1792	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1793	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1794	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1795	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1796	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Vascular tissue	Vascular tissue
1797	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1798	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Leaf epidermis	Leaf epidermis
1799	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Idioblast cell	Idioblast cell
1800	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Idioblast cell	Idioblast cell
1801	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1802	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Leaf epidermis	Leaf epidermis
1803	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1804	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Leaf epidermis	Leaf epidermis
1805	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1806	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Leaf epidermis	Leaf epidermis
1807	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Idioblast cell	Idioblast cell
1808	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1809	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Leaf epidermis	Leaf epidermis
1810	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1811	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1812	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Idioblast cell	Idioblast cell
1813	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1814	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1815	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1816	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1817	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1818	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Idioblast cell	Idioblast cell
1819	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1820	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1821	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Leaf epidermis	Leaf epidermis
1822	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1823	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1824	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Idioblast cell	Idioblast cell
1825	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1826	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1827	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1828	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1829	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1830	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Leaf epidermis	Leaf epidermis
1831	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1832	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1833	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1834	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1835	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1836	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1837	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1838	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1839	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1840	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1841	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1842	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1843	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1844	Catharanthus roseus	scplantdb_SRP335448	SRX12004740	Leaf	Mesophyll	Mesophyll
1845	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1846	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Leaf epidermis	Leaf epidermis
1847	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1848	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Leaf epidermis	Leaf epidermis
1849	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Leaf epidermis	Leaf epidermis
1850	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Idioblast cell	Idioblast cell
1851	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Leaf epidermis	Leaf epidermis
1852	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Leaf epidermis	Leaf epidermis
1853	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1854	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1855	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1856	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1857	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1858	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1859	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Meristematic cell	Meristematic cell
1860	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1861	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1862	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Idioblast cell	Idioblast cell
1863	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1864	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Meristematic cell	Meristematic cell
1865	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1866	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1867	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1868	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1869	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1870	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1871	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Phloem parenchyma	Phloem parenchyma
1872	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1873	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1874	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1875	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1876	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1877	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1878	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1879	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1880	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1881	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Leaf epidermis	Leaf epidermis
1882	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1883	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1884	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1885	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Leaf epidermis	Leaf epidermis
1886	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1887	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1888	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1889	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1890	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1891	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1892	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Vascular tissue	Vascular tissue
1893	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1894	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Vascular tissue	Vascular tissue
1895	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1896	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1897	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1898	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1899	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1900	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1901	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Leaf epidermis	Leaf epidermis
1902	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1903	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1904	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1905	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Idioblast cell	Idioblast cell
1906	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1907	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Meristematic cell	Meristematic cell
1908	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Leaf epidermis	Leaf epidermis
1909	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1910	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1911	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1912	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1913	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1914	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1915	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1916	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Phloem parenchyma	Phloem parenchyma
1917	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1918	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1919	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1920	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1921	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1922	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Meristematic cell	Meristematic cell
1923	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1924	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1925	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1926	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1927	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1928	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1929	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Leaf epidermis	Leaf epidermis
1930	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1931	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1932	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Meristematic cell	Meristematic cell
1933	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1934	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1935	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1936	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1937	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1938	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1939	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1940	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Leaf epidermis	Leaf epidermis
1941	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1942	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Unknow	Unknow
1943	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Vascular tissue	Vascular tissue
1944	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Vascular tissue	Vascular tissue
1945	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1946	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1947	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1948	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Meristematic cell	Meristematic cell
1949	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Idioblast cell	Idioblast cell
1950	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Leaf epidermis	Leaf epidermis
1951	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1952	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1953	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Vascular tissue	Vascular tissue
1954	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1955	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Leaf epidermis	Leaf epidermis
1956	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1957	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1958	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
1959	Catharanthus roseus	scplantdb_SRP335448	SRX15488576	Leaf	Mesophyll	Mesophyll
